Exam Name,Exam Post,Vacancy,Application Start Date,Application End Date
India Post (Bhartiya Daak Vibhag),Gramin Dak Sevak (GDS) Recruitment 2019,,6/6/2019,
"Mahatma Jyotiba Phule Rohilkhand University, Bareilly",Uttar Pradesh B.Ed Combined Entrance Exam 2019,,11/2/2019,14/03/2019
"Social Welfare Department, Uttar Pradesh",UPSC Civil Services Pre IAS & UPPSC Pre 2019 Free Coaching Online Form 2019,1200,19-May,26/06/2019
Join Territorial Army (JTA),Graduate Level Officer Recruitment 2019,,26/05/2019,25/06/2019
Career Indian Air Force Recruitment 2019,Airforce Common Admission Online Test (AFCAT July 2020),,1/6/2019,30/06/2019
"Madhya Pradesh National Health Mission (MP NHM), Bhopal",MP NHM Community Health Officer (CHO) Recruitment 2019,2335,27/05/2019,13/06/2019
State Bank of India (SBI),SCO Wealth Management Business Unit Recruitment 2019,579,23/05/2019,12/6/2019
Rajasthan Public Service Commission (RPSC),Senior Scientific Officer (SSO) Recruitment 2019,21,27/05/2019,17/06/2019
Indian Navy (Join IndianNavy),Nausena Bharti 10+2 Intermediate B.Tech Entry January 2020,,31/05/2019,17/06/2019
Defence Research and Development Organization (DRDO),CEPTAM 09 Technical Recruitment 2019,351,3/6/2019,26/06/2019 upto 05 PM Only
"Uttar Pradesh Basic Education Board, Allahabad",Inter District Assistant Teacher Transfer Online Application 2019,17699,20/05/2019,25/05/2019
"Integral Coach Factory (ICF, Chennai)",Various Trade Apprentice Recruitment 2019,992,20/05/2019,24/06/2019 upto 0500 PM
Rajasthan National Health Mission (Swastha Vibhag),NHM Community Health Officer CHO Recruitment 2019,2500,22/05/2019,2/6/2019
Employee Provident Fund Organization India (EPFO India) ,EPFO Assistant Recruitment 2019,280,30/05/2019,25/06/2019
LIC Life Insurance Company Ltd,LIC Apprentice Development Officer (ADO) Recruitment 2019,8581,20/05/2019,9/6/2019
National Fertilizer Limited (NFL) Uttar Pradesh,Management Trainee (MT) Recruitment 2019,44,15/05/2019,14/06/2019 upto 0530 PM
Staff Selection Commission (SSC),,,5/3/2019,05/04/2019 Upto 05 PM Only.
Join Indian Navy Civilian,Chargeman Recruitment 2019,172,13/05/2019,26/05/2019 upto 11 PM
National Fertilizer Limited (NFL),Group C Non Executive Various Post Recruitment 2019,79,10/5/2019,09/06/2019 upto 0530 PM Only.
Join Indian Army (Government of India) ,10+2 Technical Entry Scheme Course TES 42 Recruitment 2019,90,10/5/2019,8/6/2019
Indian Navy (Nausena Bharti) ,Indian Navy Entrance Test (INET) in Various Branch Recruitment 2019 ,121,16/05/2019,29/05/2019
National Bank for Agriculture and Rural Development,NABARD Various Grade A & B Recruitment 2019,85,10/5/2019,26/05/2019
Join Indian Coast Guard,Assistant Commandant AC Men and Women Group A Recruitment 2019,,24/05/2019,04/06/2019 upto 0500 PM Only
Indian Coast Guard,Navik Cook | Steward Navik Domestic Branch Recruitment 2019,,5/6/2019,12/6/2019
Uttar Pradesh National Health Mission (UPNHM),Community Health Officer (CHO) Recruitment 2019,6000,9/5/2019,27/05/2019
Chhattisgarh Public Service Commission (CGPCS),State Service Prelim Exam Recruitment 2018,160,7/12/2018,5/1/2019
"Bihar Public Service Commission, Patna",BPSC Bihar Assistant Recruitment 2018,51,31/10/2018,5/12/2018
Uttar Pradesh Subordinate Service Selection Commission (UPSSSC) ,Cane Supervisor Ganna Parvekshak II Recruitment 2016,,6/10/2016,24/10/2016
Uttar Pradesh Public Service Commission (UPPSC),UPPCS 2018 Recruitment Mains Online Form 2019,917,7/5/2019,23/05/2019
Join Indian Navy (Nausena Bharti),Sailor Entry Matric Recruit MR Music 02/2019 Batch Recruitment,,6/5/2019,19/05/2019
University of Allahabad (UOA),Assistant / Associate Professor Teaching Post Recruitment 2019,558,23/04/2019,20/05/2019
Join Indian Army (Women Military Police) ,Women GD Soldier Recruitment 2019,100,25/04/2019,8/6/2019
Bihar Public Service Commission (BPSC),64th Combined Pre Exam Recruitment 2018,1395,3/8/2018,30/08/2018 (Extended)
Railway Recruitment Board (RRB),Junior Engineer Recruitment 2019,13487,2/1/2019,31/01/2019
Union Public Service Commission,Combined Central Armed Police Force (Assistant Commandant Exam 2019),323,24/04/2019,20/05/2019 Upto 0600 PM Only
Jharkhand Public Service Commission (JPSC),Assistant Professor in Medical College Recruitment 2019,262,23/04/2019,15/05/2019
Staff Selection Commission (SSC),Multi Tasking Staff Non Technical MTS Recruitment 2019,,22/04/2019,29/05/2019 upto 05 PM Only.
"Kurukshetra University, Haryana",Various Post Direct Recruitment 2019,198,9/4/2019,15/05/2019
National Institute of Open Schooling (NIOS) ,Various Post Direct Recruitment 2019,86,17/04/2019,17/05/2019
"Patna High Court, PHC Patna, Bihar",General Mazdor Post Recruitment 2019,20,18/04/2019,8/5/2019
"Allahabad High Court, Prayagraj",Judgement Translator Contractual Recruitment 2019,5,19/04/2019,25/04/2019
"Ministry of Railway, Railway Recruitment Board (RRB)",NTPC 10+2 and Graduate Level Various Post Recruitment 2019,35277,1/3/2019,31/03/2019
BSF Boarder Security Force (COMN SET-UP),Head Constable Direct Recruitment 2019,1072,14/05/2019,12/6/2019
"Uttar Pradesh Higher Education Services Commission, Allahabad ",UPHESC Principal Recruitment 2019,290,19-Mar,23/05/2019
"CGPSC, Raipur (Chhattisgarh Public Service Commission)",Sports Officer SO & Librarian Recruitment 2019,117,5/4/2019,4/5/2019
SBI (State Bank of India),Junior Associates (Customer Sales & Support) Clerk Recruitment 2019,8904,12/4/2019,3/5/2019
Oil and Natural Gas Corporation Ltd (ONGC),GTs in Engineering Recruitment 2019 Through GATE,785,5/4/2019,24/04/2019 upto 0600 PM Only
Join Indian Army (Government of India),Technical Graduate Course TGC Recruitment 2019,40,10/4/2019,9/5/2019
Delhi Development Authority (DDA),Assistant Executive Engineer AEE Recruitment 2019,23,10/4/2019,09/05/2019 upto 06 PM
Allahabad Bank,Specialist Officer SO Recruitment 2019,92,9/4/2019,29/04/2019
Union Public Service Commission (UPSC),Combined Medical Services Examination 2019,965,10/4/2019,06/05/2019 upto 0600 PM Only
National Testing Agency (NTA),NTA CBSE UGC National Eligibility Test June 2019,,1/3/2019,30/03/2019
IGCAR (Indira Gandhi Center for Atomic Research),Various Post Trade Apprentice Recruitment 2019,,10/4/2019,24/04/2019
Nuclear Power Corporation of India Limited (NPCIL),Executive Trainee ET Recruitment 2019 Through GATE,200,9/4/2019,23/04/2019 upto 0430 PM
Bihar School Examination Board (BSEB),Matric / Intermediate Annual Examination 2019 Time Table,7976,,
State Bank of India (SBI),Probationary Officer PO Recruitment 2019 ,,2/4/2019,22/04/2019
IDBI Bank Limited,IDBI Assistant Manager and Executive Post Recruitment 2019,800,19-Mar,15/04/2019
Food Safety and Standard Authority of India (FSSAI),Various Post Recruitment 2019,275,26/03/2019,25/04/2019
Food Corporation of India (FCI) ,Various Post Recruitment 2019,4103,28/02/2019,30/03/2019
Syndical Bank (A Govt. of India Undertaking),Specialist Officer SO in Various Scale Recruitment 2019,129,29/03/2019,18/04/2019
Uttar Pradesh Public Service Commission UPPSC,Data Processing Center Examination 2019,15,28/03/2019,24/04/2019
Uttrakhand Public Service Commission (UKPSC),Uttrakhand Judicial Service (PCS J) Recruitment 2019,30,28/12/2018,10/4/2019
IDBI Bank Ltd (LIC India),Manager | DGM | AGM Recruitment 2019,,26/03/2019,8/4/2019
ITBP - Indo Tibetan Border Police Force,Medical Officer Selection Board (MOSB) CAPFs Recruitment 2019,,2/4/2019,1/5/2019
Railway Recruitment Board (RRB),Centralized Recruitment 02/2018 Group D Various Post 2018,62907,10/2/2018,30/03/2018
Union Public Service Commission (UPSC),Indian Economic Service | Indian Statistical Service Exam 2019,65,20/03/2019,16/04/2019 upto 0600 Pm Only
Union Public Service Commission (UPSC),Combined Geo Scientist and Geologist Recruitment 2019,106,20/03/2019,16/04/2019 upto 0600 PM Only
Nehru Yuva Kendra Sangathan,"District Youth Coordinator, Account Clerk and MTS Recruitment 2019",225,16/03/2019,31/03/2019
Indian Navy (Nausena Bharti),SSC Officers in Executive Branch Recruitment 2019,53,16/03/2019,5/4/2019
Union Bank of India (UBI),Specialist Officer SO Recruitment 2019,185,12/3/2019,29/03/2019
Railway Recruitment Boards (RRBs),RRB / RRC Group D Level I Recruitment 2019 ,103739,12/3/2019,12/4/2019
Bihar Technical Service Commission (Pariksha),BTSC Jr. Engineer Civil / Electrical / Mechanical Recruitment 2019 ,6379,11/3/2019,15/04/2019
Chhattisgarh Vidhan Sabha Sachivalaya,Assistant Grade III Recruitment 2019,48,20/03/2019,31/03/2019
Bihar Vidhan Sabha (Sachivayala),Junior Clerk & Other Post Recruitment 2018,101,9/10/2018,31/10/2018
Uttar Pradesh Electricity Service Commission (UP ESC) ,UPPCL Technician (Line) Recruitment 2019,4102,Notified Soon,Notified Soon
"Department of Science & Technology DST, Bihar",Various Teaching Post Recruitment 2019,1676,11/3/2019,31/03/2019
Haryana Public Service Commission (HPSC),Assistant Professor Recruitment 2019,524,15/03/2019,15/04/2019 upto 05 PM Only.
Bihar Public Service Commission (BPSC),Assistant Engineer Recruitment 2019,147,19/03/2019,2/4/2019
Haryana Staff Selection Commission (HSSC),Group D Recruitment 2019,249,22/03/2019,22/04/2019
Vijaya Bank (VB),Peon / Sub Staff Recruitment 2019,421,7/3/2019,14/03/2019
Uttar Pradesh Subordinate Service Selection Commission (UPSSSC),Junior Assistant 10+2 Direct Recruitment 2017,548,22/12/2016,12/1/2017
Haryana Staff Selection Commission (HSSC),Various Post Recruitment 2019,,8/3/2019,8/4/2019
"UPSSSC, Lucknow Uttar Pradesh Subordinate Service Selection Commission",Chakbandi Lekhpal Direct Recruitment Online Form 2019,1364,6/3/2019,5/4/2019
Uttar Pradesh Subordinate Service Selection Commission (UPSSSC),Chakbandi Lekhpal Direct Recruitment 2019,,Postponed,Postponed
Uttar Pradesh Subordinate Service Selection Commission,UPSSSC Mandi Parishad Various Post Recruitment 2018,284,5/12/2018,26/12/2018
Railway Recruitment Board (RRB),Paramedical Categories Recruitment 2019,,4/3/2019,2/4/2019
"Department of Revenue and Land Reforms, Bihar",Various Post Recruitment 2019,6875,11/3/2019,1/4/2019
Bihar Staff Selection Commission (BSSC),BSSC Stenographer Recruitment 2019,326,11/3/2019,11/04/2019 (Extended)
National Housing Bank (NHB),Assistant Manager Recruitment 2019,15,2/3/2019,28/03/2019
Life Insurance Corporation of India (LIC) ,Assistant Administrative Officer (AAO) Recruitment 2019,590,2/3/2019,22/03/2019
Uttar Pradesh Basic Education Board,UP 68500 Assistant Teacher Recruitment 2018,68500,25/01/2018,5/2/2018
Uttrakhand Cooperative Institutional Service Board (UCISB),UK Bank Various Post Recruitment 2019,422,20/02/2019,20/03/2019
"School Shiksha Pariyojna Parishad, Haryana",HSSPP Assistant Manager (MIS) Recruitment 2019,575,27/02/2019,20/03/2019 upto 0500 PM Only.
Join Indian Navy,Nausena Bharti Tradesman Mate Recruitment 2019,644,2/3/2019,15/03/2019 upto 05 PM Only.
Uttar Pradesh Subordinate Service Selection Commission UPSSSC,Homeopathic Pharmacist Recruitment 2019 Online Form,420,25/02/2019,18/03/2019
Council of Scientific and Industrial Research (CSIR),Joint CSR UGC Test for JRF & NET June 2019,,25/02/2019,22/03/2019
Uttar Pradesh Rajya Vidhut Utpadan Nigam Limited (UPRVUNL),"Office Assistant, Jr Engineer, Assistant Accountant Recruitment 2019",117,21/02/2019,21/03/2019
Jharkhand Staff Selection Commission (JSSC),Excise Constable Competitive Recruitment 2018,518,26/12/2018,9/2/2019
Union Public Service Commission (UPSC),Civil Services and Indian Forest Examination 2019,986,19/02/2019,19/03/2019 Upto 0600 PM Only
Madhya Pradesh Public Service Commission (MPPSC),Medical Officer (Backlog) Recruitment 2019,1065,27/02/2019,5/3/2019
Punjab National Bank (PNB),Technical Officers 325 Recruitment 2019,325,14/02/2019,02/03/2019.
Banaras Hindu University (BHU) ,Various Teaching & Non Teaching Recruitment 2019,,19-Feb,25/02/2019
Central Warehousing Corporation (CWC),Zone Wise Various Post Recruitment 2019,,15/02/2019,16/03/2019
Central Board of Secondary Education (CBSE),Central Teacher Eligibility Test CTET July 2019,,5/2/2019,14/03/2019(Extended)
"National Fertilizers Limited (NFL, Uttar Pradesh)",Account Assistant (AA) Recruitment 2019,52,31/01/2019,28/02/2019 upto 0530 PM Only.
Bhabha Atomic Research Centre (BARC),Upper Division Clerk UDC & Stenographer Recruitment 2019,60,31/01/2019,25/02/2019 upto 1000 PM Only.
"Delhi High Court, New Delhi (DHC)",Translator & Personal Assistant Recruitment 2019,73,15/02/2019,07/03/2019 upto 1000 PM Only.
Bharat Sanchar Nigam Limited (BSNL),"Graduate Engineer, Junior Telecom Operator JTO Recruitment 2019",198,11/2/2019,12/3/2019
Uttar Pradesh Subordinate Service Selection Commission (UPSSSC),Combined Lower Subordinate Services Competitive Recruitment 2019,672,30/01/2019,19/02/2019
Union Bank of India (UBI Bank),Security Guard Recruitment 2019,100,23/01/2019,18/02/2019
Delhi Subordinate Service Selection Board (DSSSB),"LDC, Stenographer and Other Various Post Recruitment 2019",204,31/01/2019,5/3/2019
Delhi Subordinate Service Selection Board (DSSSB),Junior / Assistant Engineer Recruitment 2019,264,30/01/2019,1/3/2019
Madhya Pradesh Power Generation Company Ltd (MPPGCL),,64,29/01/2019,28/02/2019
Staff Selection Commission (SSC),Junior Engineer (Civil / Electrical / Mechanical) Recruitment 2019,1601,28/01/2019,25/02/2019 Upto 0500 PM Only
Join Indian Army,53 SSC Men & 24 SSC Women Recruitment 2019,189,23/01/2019,21/02/2019
"High Court of Judicature at Patna, Bihar",Bihar District Judge (Entry Level) HJS Recruitment 2019,14,21/01/2019,19/02/2019
"Rajasthan Staff Selection Board, Jaipur (RSMSSB)",Investigator Post Recruitment 2019,62,24/01/2019,23/02/2019
UPNHM â Uttar Pradesh National Health Mission,Various Post Recruitment 2019,1172,22/01/2019,11/2/2019
Supreme Court of India (SCI),Law Clerk Cum Research Assistant Contractual Recruitment 2019,,1/2/2019,28/02/2019
Chhattisgarh Public Service Commission (CGPSC),Assistant Professor Recruitment 2019,1384,4/2/2019,3/4/2019
Haryana Staff Selection Commission,HSSC Various Post Recruitment 2019,773,18/01/2019,18/02/2019
UP PRPB (Uttar Pradesh Police Recruitment & Promotion Board),Fireman | Jail Warden | Horse Rider Recruitment 2018,,22/01/2019,24/02/2019
Central Industrial Security Force (CISF) ,Head Constable Ministerial Recruitment 2019,429,21/01/2019,25/02/2019 Upto 05 PM Only
Haryana Staff Selection Commission (HSSC),Haryana TGT Sanskrit Teacher Recruitment 2019,778,22/02/2019,25/03/2019
"Public Health Engineering Department, PHED Bihar",Junior Engineer Civil Recruitment 2019,214,15/01/2019,31/01/2019 upto 05 PM Only.
Join Indian Coast Guard (Ministry of Defence),Yantrik 02/2019 Batch Recruitment 2019,,11/2/2019,21/02/2019 upto 0500 PM Only
"Madhya Pradesh State Legal Services Authority, MPSLSA Jabalpur",Group D Recruitment 2019,131,14/01/2019,7/2/2019
Union Public Service Commission,Combined Central Armed Police Force (Assistant Commandant Exam 2018),398,25/04/2018,21/05/2018 Upto 0600 PM Only
Navodaya Vidyalaya Samiti (NVS),Various Teaching / Non Teaching Recruitment 2019,251,15/01/2019,14/02/2019
"Uttar Pradesh Public Service Commission, Prayagraj",UPPSC Samiksha Adhikari RO / ARO 2017 Recruitment Mains Online Form,460,11/1/2019,18/01/2019
Uttar Pradesh Public Service Commission (UPPSC),PCS J Civil Judge Recruitment 2018,610,11/9/2018,8/10/2018
Join Indian Coast Guard (Ministry of Defence),Navik (General Duty) 10+2 Recruitment 2019,,21/01/2019,31/01/2019 upto 0500 PM Only
Union Public Service Commission (UPSC),National Defence Academy and Naval Academy Exam NDA I 2019,392,9/1/2019,04/02/2019 Upto 0600 PM Only
Bihar Public Service Commission (BPSC),Bihar Judicial Service (PCS J) Recruitment 2018,349,11/9/2018,1/10/2018
State Bank of India,SBI Specialist Officer in Regular / Contract Basis Recruitment 2019,31,9/1/2019,31/01/2019
Haryana Staff Selection Commission (HSSC),Haryana Junior Engineer Recruitment Recruitment 2019,49,4/2/2019,5/3/2019
High Court of Punjab & Haryana at Chandidgarh,Subordinate Staff Clerk Recruitment 2019,,7/1/2019,4/2/2019
Reserve Bank of India (RBI),Junior Engineer Civil / Electrical Recruitment 2019,24,7/1/2019,30/01/2019
The Indian Navy (Nausena Bharti),Engineer as a Short Service Commission Officer January 2020 Batch,99,12/1/2019,1/2/2019
Directorate of General (EDU Del) ,TGT / Primary Guest Teacher Recruitment 2019,636,5/1/2019,13/01/2019
Delhi High Court (DHC),Jr. Judicial Assistant JJA Technical Recruitment 2019,60,4/1/2019,23/01/2019 upto 10 PM Only.
CSBC â Bihar Central Selection Board of Constable,Forest Guard (Van Rakshak) Advt No. 01/2019 Recruitment 2019,902,1/1/2019,31/01/2019
Indian Air Force (Bharitya Vayu Sena),X Group | Y Group Airmen Recruitment Online Form 2019,,2/1/2019,21/01/2019
Haryana Staff Selection Commission HSSC,Various Instructor Practical Post Recruitment 2019,861,12/1/2019,11/2/2019
Uttar Pradesh Subordinate Service Selection Commission (UPSSSC),Nideshak Rajya Krishi Utpadan Mandi Parishad Evam Samitiya II Recruitment 2019,16,28/12/2018,12/1/2019
"UPPSC, Prayagraj - Uttar Pradesh Public Service Commission ",<b>Assistant Prosecuting Officer ,17,28-Dec-18,25-Jan-19
Haryana Staff Selection Commission HSSC,"Various Instructor, Other Post Recruitment 2019",1007,5/1/2019,4/2/2019
Railway Recruitment Cell (Western Central Region),RRC WCR Trade Apprentice Recruitment 2019,200,28/12/2018,27/01/2019 upto 04 PM Only.
Railway Recruitment Cell (Western Central Region),RRC WCR Trade Apprentice Recruitment 2019,958,21/12/2018,1
Delhi Development Authority (DDA),Various Post Direct Recruitment 2019,203,26/12/2018,05/02/2019 upto 0600 PM Only.
Karnataka Bank (KB Bank), Officer Scale I Recruitment 2019,,24/12/2018,2/1/2019
Employee State Insurance Corporation (ESIC),Staff Nurse and Other Various Paramedical Post Recruitment 2019,1007,18-Dec,21/01/2019
"Railway Recruitment Cell (Northern Region), Delhi",Various Trade Apprentice Recruitment 2019,1092,31/12/2018,31/01/2019
Railway Protection Force (RPF),Constable (Tradesman) Recruitment 2019,789,1/1/2019,30/01/2019
Railway Recruitment Board (Ministry of Railway),Assistant Loco Pilot ALP | Technician Recruitment 2018,26502,3/2/2018,31
Reserve Bank of India (RBI),Lateral Recruitment of Officers in Grade 'C' Contract Basic,61,19/12/2018,8/1/2019
Jharkhand Staff Selection Commission (JSSC),Special Branch Constable (Close Cadre) Competitive Recruitment 2019,1012,4/1/2019,18/02/2019
"National Health Mission NHM, Uttar Pradesh","ANM, Staff Nurse and Other Various Post Recruitment 2019",10158,18/12/2018,7/1/2019
High Court of Judicature at Allahabad (Prayagraj) ,"Samiksha Adhikari ARO, APS & Driver Recruitment 2019",341,18/12/2018,7/1/2019
"Madhya Pradesh High Court, MPHC",Civil Judge Grade II Recruitment 2019,190,27/12/2018,20/01/2019
The Indian Navy (Nausena Bharti),Sailor Entry SSR | AA | MR Recruitment 2019,3400,17/12/2018,30/12/2018
Madhya Pradesh High Court (MPHC),District Judge Entry Level (MPHJS) Recruitment 2019,55,21/12/2018,14/01/2019
Assam Rifles Rally Bharti,Technical & Tradesman Recruitment Rally 2018-2019,749,14/12/2018,14/01/2019
"Social Welfare Department, Uttar Pradesh",Pre Matric | Post Matric | Dashmottar Scholarship 2018,,Last Date for Apply Online,Courses Available
Railway Recruitment Cell South Western Railway,RRC Hubli SWR Trade Apprentice Recruitment 2018,963,17/12/2018,16/01/2019
Railway Recruitment Cell East Central Railway,RRC ECR Trade Apprentice Recruitment 2018,2234,11/12/2018,10/1/2019
Gail India Limited (GIL),"Senior Engineer, Senior Officer Various Post Recruitment 2018",,12/12/2018,31/12/2018
Oil and Natural Gas Corporation Limited (ONGC),Delhi & Dehradun Various Post Recruitment 2018,115,7/12/2018,27/12/2018 upto 06 PM Only.
Bharat Sanchar Nigam Limited (BSNL) ,Management Trainee (Telecom Operator) Recruitment 2018,300,26/12/2018,26/01/2019
Railway Recruitment Cell (Western Region),RRC WR Trade Apprentice Recruitment 2018,3553,10/12/2018,09/01/2019 upto 05 PM Only.
Madhya Pradesh Power Generation Company Ltd (MPPGCL),Apprentice Recruitment 2018,209,6/12/2018,31/12/2018
"Northern Coalfield Limited, NCL Singrauli",Apprentice Recruitment 2018,441,10/12/2018,12/1/2019
Lakshmi Vilas Bank (LVB Bank),LVB PO Probationary Officer Scale I Recruitment 2018,,5/12/2018,30/12/2018
Uttar Pradesh Subordinate Service Selection Commission (UPSSSC),Nideshak Rajya Krishi Utpadan Mandi Parishad Evam Samitiya Recruitment 2018,284,5/12/2018,26/12/2018
New India Assurance Company Ltd (NIACL),Administrative Officer (AO) Recruitment 2018,312,10/12/2018,26/12/2018
State Bank of India,SBI Specialist Officer in Internal Audit Recruitment 2019,39,4/12/2018,28/12/2018
South Indian Bank,SIB PO Probationary Officer Scale I Recruitment 2018,,10/12/2018,16/12/2018
